date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:16	164338/164338	U-----	200	untouched ('OK')	text/html	etag:cacheable:e05508e5fc15619410cf35f969ff9d0d	https://porto-demo13.myshopify.com/collections/latest-products/products/men-gentle-shoes	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/latest-products/products/men-gentle-shoes.html	(from https://porto-demo13.myshopify.com/)
11:10:16	152544/152544	U-----	200	untouched ('OK')	text/html	etag:cacheable:042cca43f3eb0aa4df80f508d9eabff8	https://porto-demo13.myshopify.com/collections/latest-products/products/porto-gray-cap	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/latest-products/products/porto-gray-cap.html	(from https://porto-demo13.myshopify.com/)
11:10:16	158713/158713	U-----	200	untouched ('OK')	text/html	etag:cacheable:6d2ea775ddb3924a11b485e62432f356	https://porto-demo13.myshopify.com/collections/latest-products/products/porto-white-cap	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/latest-products/products/porto-white-cap.html	(from https://porto-demo13.myshopify.com/)
11:10:16	102886/102886	U-----	200	untouched ('OK')	text/html	etag:cacheable:069412ffc8cca0fe06be1f36e3c02459	https://porto-demo13.myshopify.com/collections/fashion	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/fashion.html	(from https://porto-demo13.myshopify.com/)
11:10:16	102950/102950	U-----	200	untouched ('OK')	text/html	etag:cacheable:699d3ded5a1e26a6770dc7c9bcadbe58	https://porto-demo13.myshopify.com/collections/accessories	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/accessories.html	(from https://porto-demo13.myshopify.com/)
11:10:16	130689/130689	U-----	200	untouched ('OK')	text/html	etag:cacheable:05d6c13b7afdf08eba08ec5201e3b10a	https://porto-demo13.myshopify.com/collections/t-shirts	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/t-shirts.html	(from https://porto-demo13.myshopify.com/)
11:10:17	132516/132516	U-----	200	untouched ('OK')	text/html	etag:cacheable:6693d6f2bc28bad3b659826e83f7a2ed	https://porto-demo13.myshopify.com/collections/watches	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/watches.html	(from https://porto-demo13.myshopify.com/)
11:10:17	102950/102950	U-----	200	untouched ('OK')	text/html	etag:cacheable:43cde48052c68face380d7d9088cafae	https://porto-demo13.myshopify.com/collections/electronics	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/electronics.html	(from https://porto-demo13.myshopify.com/)
11:10:17	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Jul%202022%2005:40:16%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fonts/Simple-Line-Icons.ttf?v=2.4.0	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fonts/Simple-Line-Icons.7fb26c.delayed	(from https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860)
11:10:17	127436/127436	U-----	200	untouched ('OK')	text/html	etag:cacheable:5dc5079b040c1393e113146328c9526c	https://porto-demo13.myshopify.com/collections/toys	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/toys.html	(from https://porto-demo13.myshopify.com/)
11:10:18	105422/105422	U-----	200	untouched ('OK')	text/html	etag:cacheable:2a4f253503842e6567becfe6a98aec11	https://porto-demo13.myshopify.com/blogs/news/post-format-video	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/blogs/news/post-format-video.html	(from https://porto-demo13.myshopify.com/)
11:10:18	105765/105765	U-----	200	untouched ('OK')	text/html	etag:cacheable:bd30cadc7a22c097cd637f84062f4e8c	https://porto-demo13.myshopify.com/blogs/news/post-format-image-gallery	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/blogs/news/post-format-image-gallery.html	(from https://porto-demo13.myshopify.com/)
11:10:18	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Jul%202022%2005:40:18%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fonts/Simple-Line-Icons.woff?v=2.4.0	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fonts/Simple-Line-Icons.80b26c.delayed	(from https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860)
