date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:19:18%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	(from https://porto-demo13.myshopify.com/)
08:49:19	798/798	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2003:37:07%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/en.png?v=156887739256750668521640001791	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/en4d6b.png	(from https://porto-demo13.myshopify.com/)
08:49:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:19:18%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/de.png?v=328668538024613771640001790	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/de0989.png	(from https://porto-demo13.myshopify.com/)
08:49:19	59401/59401	U-----	200	untouched ('')	text/javascript	date:Fri,%2017%20Jun%202022%2016:57:24%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://porto-demo13.myshopify.com/)
08:49:20	429/429	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2003:37:09%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/de.png?v=328668538024613771640001790	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/de0989.png	(from https://porto-demo13.myshopify.com/)
08:49:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:19:20%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fr.png?v=103902703118731355171640001800	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fr24c6.png	(from https://porto-demo13.myshopify.com/)
08:49:22	673/673	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2003:37:10%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fr.png?v=103902703118731355171640001800	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/fr24c6.png	(from https://porto-demo13.myshopify.com/)
08:49:23	136/136	---MC-	302	error ('Found')	text/html	date:Sat,%2002%20Jul%202022%2003:19:23%20GMT	https://porto-demo13.myshopify.com/account	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/account	(from https://porto-demo13.myshopify.com/)
08:49:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:19:23%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/logo_black_new.png?v=82644603109002165811640001847	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/logo_black_newfb37.png	(from https://porto-demo13.myshopify.com/)
08:49:24	90740/90740	U-----	200	untouched ('OK')	text/html	etag:cacheable:e1aec480a6bda951b72204ae4f3a2624	https://porto-demo13.myshopify.com/account/login?return_url=%2Faccount	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/account/login4236.html	(from https://porto-demo13.myshopify.com/)
